SPACEID,Name,Type,Acres,Geometry,Avg. Lat,Avg. Long,Lat Range,Long Range,Crimes,Nearby Crimes Per Year
1,Wilson Park,"Malls, Squares & Plazas",0.09718357,"MULTIPOLYGON (((229183.86506775988 898997.3124101866, 229168.82500866527 898995.1425096635, 229165.26506136416 898995.3324523268, 229163.18501686462 898997.3124377409, 229162.3950087842 899004.1424107509, 229163.38504460192 899006.2224414397, 229167.04501509183 899007.8024847502, 229180.70500380266 899012.8524391967, 229185.15502988972 899014.2424976316, 229188.61506588993 899013.6424972144, 229190.59506047846 899012.0624261926, 229191.19502134452 899009.1924598695, 229191.38502801253 899006.0224374627, 229190.79505466763 899003.3524667823, 229189.01506665972 899000.782411075, 229186.73505543786 898999.1024520196, 229183.86506775988 898997.3124101866)))",42.340991124000055,-71.14592892599995,0.0001713419999873,0.0003518940000049,1517,175.50974025974025
2,James H. Roberts Playground,Playgrounds,1.00413568,"MULTIPOLYGON (((230878.00405641555 901037.2458569482, 230855.40956612493 901026.291301827, 230841.33020545292 901052.9898041157, 230835.6247628983 901063.8149571253, 230820.8517482438 901090.3240692139, 230822.37974965025 901091.1870706563, 230832.73121055716 901097.1581543197, 230843.6796950171 901103.3853536422, 230854.14730678924 901109.3683089517, 230863.9556677959 901114.9818273708, 230869.91992764402 901106.6376460242, 230877.3317122705 901096.2498891206, 230883.25515294925 901087.9784069485, 230890.22108760115 901078.14409345, 230897.3333131043 901068.1683616843, 230904.84675935336 901057.8169594281, 230909.28677046424 901051.4309638923, 230889.03947942433 901042.2613157062, 230878.00405641555 901037.2458569482)))",42.35952553200005,-71.12533246149997,0.0007981159999985,0.0010714149999557,601,69.53286347798543
3,Smith Playground,Playgrounds,15.02524742,"MULTIPOLYGON (((230387.83727943758 901474.1335660913, 230368.06460050103 901473.9833203562, 230334.99733542788 901482.6239618545, 230289.34315831558 901494.6156901438, 230257.8693571416 901501.3350293931, 230272.16553886552 901554.1763805527, 230277.57242816716 901575.9429550864, 230312.0870249656 901714.2612655947, 230343.91518033916 901824.8647870059, 230323.0862649406 901835.3974680933, 230358.08834516525 901878.2276662604, 230365.00778300085 901888.0452041073, 230369.55306556946 901895.1835044528, 230448.02266894525 901839.9951397736, 230463.68188782735 901829.3769853681, 230471.833209866 901824.3359592194, 230478.92447969413 901820.1723029432, 230485.5617872151 901816.5063127639, 230492.8550835888 901812.7524251563, 230499.0757754809 901810.0711230665, 230505.13645647845 901807.6097325844, 230512.4826317198 901804.6010948732, 230519.9321944752 901801.781191102, 230525.8490394996 901799.7623947551, 230480.41697047715 901693.0151770338, 230387.83727943758 901474.1335660913)))",42.36507196100004,-71.13104615899996,0.0037918759999797,0.0032688739999571,790,91.39927146024706
4,Fern Square,"Malls, Squares & Plazas",0.04450911,"MULTIPOLYGON (((230199.46539752936 901062.6437846158, 230219.45409757373 901079.1109180087, 230216.1377257511 901060.3102923781, 230216.1088753842 901060.1609908526, 230216.07095419502 901060.013760793, 230216.02230551667 901059.8707055682, 230215.96359412352 901059.7304950925, 230215.89587900476 901059.5959108644, 230215.81867448162 901059.4649513946, 230215.73204668734 901059.3413936219, 230215.58706583283 901059.1667112926, 230215.42430507077 901059.0078366369, 230215.30683364812 901058.9111381393, 230215.119553378 901058.7835930648, 230214.92007925292 901058.6755452524, 230214.78103009387 901058.615742877, 230214.63798564035 901058.5654760126, 230214.49176348455 901058.526192189, 230214.34335885558 901058.4963405934, 230214.1930979407 901058.4767001786, 230214.0418816517 901058.4684966723, 230213.89054334676 901058.4695120986, 230213.6640617858 901058.4924199763, 230213.51598306815 901058.5208856312, 230213.38105641678 901058.5560725171, 230199.46539752936 901062.6437846158)))",42.35953406100006,-71.13329072949998,0.0001856279999969,0.0002434969999853,1240,143.46214760848906
5,Ringer Playground,Playgrounds,10.26309317,"MULTIPOLYGON (((229950.85292698658 900128.016477751, 229948.34532685514 900124.478967513, 229945.3159756788 900127.5255786915, 229940.27657529415 900118.5479236502, 229934.58180696212 900108.5663388288, 229970.44172030632 900093.754588251, 229961.90169139495 900074.4447742219, 229952.63661871478 900055.4688905104, 229935.5953467363 900023.5099170565, 229845.96820067932 900070.9215924254, 229810.56080245975 900003.1760778667, 229900.5889070096 899956.7352562773, 229876.22358030497 899907.12960706, 229861.85675356188 899916.1921191678, 229847.9615332999 899924.9573097355, 229834.65845559133 899933.3482666524, 229816.14639241743 899944.9974880359, 229793.69205386957 899958.8708106716, 229700.39088221607 900019.0357885703, 229661.76635926188 900043.8107843485, 229659.71946628936 900070.226155143, 229689.5499230703 900086.7680422055, 229707.61889111163 900097.0803072122, 229723.94826654287 900106.3978928695, 229746.7236216897 900119.3943618572, 229761.59083899145 900127.8779859196, 229778.3477984498 900137.4411030257, 229798.92542269462 900149.1701440584, 229806.04028133777 900153.2470942284, 229805.82695551665 900153.9108775377, 229832.18605568598 900168.7461647543, 229901.19324923857 900207.5874681845, 229907.4124989086 900211.0024655944, 229940.19071882946 900150.4582522264, 229955.87721762885 900135.1026475289, 229950.85292698658 900128.016477751)))",42.35045632200007,-71.13812892049995,0.0027344879999873,0.0037724590000038,4811,556.6099936648717
6,McKinney Playground,Playgrounds,5.89186071,"MULTIPOLYGON (((228639.1448939935 900426.2327543589, 228634.19491366268 900412.1827123357, 228629.54491716909 900414.1627177965, 228619.5448554197 900418.5126569532, 228616.28484974764 900419.8026536324, 228615.29485798784 900420.3926649523, 228594.01489607402 900448.2027238859, 228574.02485986258 900474.8226765445, 228569.7648324719 900480.0727640773, 228568.27486031567 900481.7527527065, 228566.794894262 900483.3426984409, 228565.11485532037 900485.0226926401, 228563.5248610694 900486.6027502189, 228561.84485466615 900488.0926916513, 228560.06487099003 900489.5726744906, 228558.28484176777 900490.9626847864, 228556.50485387238 900492.342698714, 228554.52486034154 900493.5327353245, 228552.6448860218 900494.7227345719, 228550.6648884955 900495.8126913797, 228548.68484936064 900496.8927626691, 228546.60482918398 900497.8826777086, 228544.5248856698 900498.7727349581, 228542.5448327314 900499.5726703508, 228537.89490252078 900501.2527162721, 228522.35485159466 900507.0927296072, 228503.05483606542 900514.212689669, 228503.55482281212 900524.3127778555, 228504.2448804297 900539.0626772589, 228504.934847827 900554.4027318769, 228505.63482331156 900568.4527728381, 228506.62488697702 900583.292752849, 228507.41484690923 900597.7427058769, 228508.2048612176 900609.822708571, 228508.99486801212 900622.4927557021, 228612.12491197634 900612.5926948081, 228628.15486307896 900610.91273114, 228644.18488313883 900608.7327330406, 228661.3149253398 900606.3527641987, 228662.49489368606 900606.1627469453, 228657.64487026143 900556.372770457, 228684.86491105083 900552.8127164613, 228680.70485599502 900541.5326930361, 228676.45491350585 900529.4627662344, 228671.8048568243 900516.6927541201, 228667.15486134018 900503.8227759278, 228662.0048694888 900489.6727034987, 228656.2648824903 900473.6426855305, 228650.3248923602 900457.1126749562, 228644.78487382227 900441.6727492596, 228639.1448939935 900426.2327543589)))",42.35463145150004,-71.15292741949997,0.001897944999996,0.0022086870000066,1882,217.738517579981
7,Hobart Park,Parks,0.80891409,"MULTIPOLYGON (((227926.95476707132 900672.8626958423, 227921.8147207655 900591.6127092105, 227877.17476431813 900602.002726379, 227884.50472997708 900640.8927288293, 227891.72473348663 900680.4827608381, 227926.95476707132 900672.8626958423)))",42.35572421900005,-71.16132052399996,0.0008011479999936,0.0006076460000485,708,81.91225847323408
8,Market Street Burying Ground,Cemeteries & Burying Grounds,0.39538045,"MULTIPOLYGON (((228671.14750500658 900070.5615753992, 228664.21749182412 900033.6515911529, 228641.5574733645 900034.641541458, 228616.61753178498 900035.7215838365, 228634.62746781105 900073.4315400114, 228671.14750500658 900070.5615753992)))",42.35045317300006,-71.15234523399997,0.0003592140000137,0.0006635540000274,4938,571.3032942667089
9,Jackson Square,"Malls, Squares & Plazas",0.12032328,"MULTIPOLYGON (((228613.11490655818 899541.1525423967, 228610.63495415283 899541.1525544672, 228607.47490876532 899543.3325799707, 228605.294873116 899545.5024887392, 228601.53487155717 899566.1925585825, 228602.5249147668 899568.3725929376, 228604.40492679246 899570.2525640794, 228608.75489408922 899571.8325726468, 228621.3249184894 899567.4825337266, 228623.2048992384 899566.1925844117, 228624.09487785512 899564.3125593781, 228624.79492773663 899561.5425867396, 228622.71490303244 899557.1825492107, 228615.98492815063 899542.7325284418, 228613.11490655818 899541.1525423967)))",42.34597978600004,-71.15274223099996,0.0002763640000011,0.000282057999982,4460,516.0009502692429
10,Reilly Playground,Playgrounds,6.96749208,"MULTIPOLYGON (((228601.99628199855 898449.1102245507, 228601.51583857808 898449.369745146, 228539.97102297266 898474.8493820959, 228546.08863710595 898552.0463811351, 228502.1327901566 898552.522697973, 228502.9484081032 898669.6226293888, 228504.77241820432 898668.7962809965, 228519.0844064972 898663.0588847918, 228521.6063967629 898662.2392604273, 228527.72214256015 898660.3477759457, 228534.13826386738 898658.8035214277, 228540.6235147845 898657.5063668767, 228547.0498012903 898656.5042218802, 228553.77092161245 898655.9145991004, 228554.82830923927 898655.8138155784, 228556.06744552677 898655.7039957935, 228556.7798644289 898655.644909041, 228557.31627346275 898655.6022131558, 228557.60026085834 898655.5804850438, 228558.2454710489 898655.5325663299, 228559.07927513745 898655.4743062187, 228559.49011277506 898655.4469843302, 228560.3746687324 898655.3917075122, 228560.72713466466 898655.3708131495, 228561.376912791 898655.3344653113, 228562.4411994645 898655.2800301309, 228563.08814956533 898655.250113434, 228563.62010936753 898655.2275049108, 228564.2695965139 898655.2019306356, 228565.09355696852 898655.1730666799, 228565.68219656462 898655.1547985092, 228565.91610070143 898655.1480847646, 228566.5868247752 898655.0271817436, 228567.1097286983 898654.9212288214, 228567.907444576 898654.7396385313, 228568.751955378 898654.5208055307, 228569.45210310817 898654.3179363585, 228570.1451513883 898654.0978214493, 228570.90026216026 898653.8350830895, 228571.61486046147 898653.5642936555, 228572.35117921524 898653.2617134487, 228573.25751842675 898652.8551897829, 228573.92321459195 898652.531884463, 228574.69826675838 898652.1277152925, 228575.48592017795 898651.6848315126, 228576.27602561083 898651.2064130972, 228576.82556759968 898650.8524228558, 228739.366072256 898467.8319652968, 228739.49377932068 898467.6579852821, 228739.61548728094 898467.479870893, 228739.73127807688 898467.2977335327, 228739.8409878097 898467.1113503831, 228739.94469252814 898466.9222768366, 228740.04124348378 898466.729286338, 228740.13220374004 898466.5330517488, 228740.21567651478 898466.3338985427, 228740.29248634962 898466.1317190055, 228740.36328390258 898465.9286262784, 228740.42701055802 898465.72150586, 228740.48365314386 898465.513578942, 228740.5325582887 898465.3033988402, 228740.57529131722 898465.0910830467, 228740.61093982548 898464.8780718186, 228740.63967044267 898464.6639215345, 228740.66048925533 898464.4498499744, 228740.67431003816 898464.2340836461, 228740.6810453856 898464.0178440432, 228740.68085784782 898463.8016872106, 228740.67234236174 898463.5866070971, 228740.65814467997 898463.3705040572, 228740.63610942918 898463.1564794393, 228740.60698691788 898462.9424258441, 228740.5708554725 898462.729343279, 228740.52680767904 898462.5174501964, 228740.47657141698 898462.3074201288, 228740.41948785746 898462.0991392905, 228740.35407180586 898461.893045937, 228740.2829603856 898461.6891508328, 228740.20516148803 898461.4882274684, 228740.1208440291 898461.2892768399, 228740.02876822435 898461.0931824986, 228739.93181296418 898460.9012891358, 228739.82775863583 898460.7122547537, 228739.71635755475 898460.5261894275, 228739.6005728449 898460.3439938687, 228739.4773489782 898460.16721068, 228739.34925156375 898459.9931844905, 228739.2154478777 898459.8240223759, 228739.0752804485 898459.6592773226, 228738.93047489153 898459.5001782465, 228738.78046387841 898459.3443902009, 228738.62449118702 898459.1954645631, 228738.4644649552 898459.0502989828, 228738.29955064933 898458.9114448201, 228738.1295843477 898458.778679245, 228737.9555604242 898458.6506733955, 228737.77763915525 898458.528538711, 228737.59491221712 898458.412715774, 228737.40869590212 898458.3037653652, 228737.21973598143 898458.2006908276, 228737.02695931372 898458.1039320865, 228736.83110985783 898458.012936799, 228736.63218171516 898457.9291489429, 228736.43017669415 898457.8521242153, 228736.2264934969 898457.782423727, 228736.02056161914 898457.7184900588, 228735.81195946428 898457.6626541128, 228735.6020934624 898457.613588708, 228735.39104828643 898457.5707388077, 228735.1772508863 898457.5358752164, 228734.9643354744 898457.5070133976, 228734.74973917124 898457.486142271, 228734.53387311194 898457.4734856618, 228734.28106285958 898457.466676204, 228733.67186569847 898457.489844756, 228728.01149476852 898457.214452832, 228724.23884287884 898457.0186460592, 228718.58051369266 898456.7072810854, 228714.80878340412 898456.4874904874, 228711.0522535268 898456.2586556717, 228708.93647030415 898456.1261630681, 228698.53525746634 898454.8922768995, 228688.09947027324 898453.9913852925, 228677.64065122252 898453.4226468484, 228601.99628199855 898449.1102245507)))",42.33700505250005,-71.15269437699996,0.0019888409999566,0.002890251999986,1166,134.9006968641115
