SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist
1,Wilson Park,42.340991124000055,-71.14592892599995,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,3.694295994874453,3.694295994874453,3.694295994874453,3.694295994874453,3.694295994874453,3.694295994874453,4.679212263874517,4.679212263874517,5.914816455759856,5.914816455759856
2,James H. Roberts Playground,42.35952553200005,-71.12533246149997,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,2.154910700911935,2.154910700911935,2.154910700911935,2.154910700911935,2.154910700911935,2.154910700911935,3.6202098737131956,3.6202098737131956,4.207891269137078,4.207891269137078
3,Smith Playground,42.36507196100004,-71.13104615899996,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,2.8207026104035133,2.8207026104035133,2.8207026104035133,2.8207026104035133,2.8207026104035133,2.8207026104035133,4.290149668078421,4.290149668078421,4.79501226071023,4.79501226071023
4,Fern Square,42.35953406100006,-71.13329072949998,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,2.7772710806706487,2.7772710806706487,2.7772710806706487,2.7772710806706487,2.7772710806706487,2.7772710806706487,4.210376769973429,4.210376769973429,4.88706827577073,4.88706827577073
5,Ringer Playground,42.35045632200007,-71.13812892049995,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,2.796219778328012,2.796219778328012,2.796219778328012,2.796219778328012,2.796219778328012,2.796219778328012,4.059017915652118,4.059017915652118,5.035739124358545,5.035739124358545
6,McKinney Playground,42.35463145150004,-71.15292741949997,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,4.122143987402487,4.122143987402487,4.122143987402487,4.122143987402487,4.122143987402487,4.122143987402487,5.422125461987343,5.422125461987343,6.33813876826366,6.33813876826366
7,Hobart Park,42.35572421900005,-71.16132052399996,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,4.883256002066371,4.883256002066371,4.883256002066371,4.883256002066371,4.883256002066371,4.883256002066371,6.1660229066058765,6.1660229066058765,7.102008704972079,7.102008704972079
8,Market Street Burying Ground,42.35045317300006,-71.15234523399997,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,4.09365318619593,4.09365318619593,4.09365318619593,4.09365318619593,4.09365318619593,4.09365318619593,5.314019193603895,5.314019193603895,6.335066762021804,6.335066762021804
9,Jackson Square,42.34597978600004,-71.15274223099996,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,4.156766055608701,4.156766055608701,4.156766055608701,4.156766055608701,4.156766055608701,4.156766055608701,5.279039267213747,5.279039267213747,6.403338427668156,6.403338427668156
10,Reilly Playground,42.33700505250005,-71.15269437699996,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,4.288730768748891,4.288730768748891,4.288730768748891,4.288730768748891,4.288730768748891,4.288730768748891,5.154520056163879,5.154520056163879,6.473190948600181,6.473190948600181
11,Boyden Park,42.33954287650005,-71.16637026649997,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,5.365748608061175,5.365748608061175,5.365748608061175,5.365748608061175,5.365748608061175,5.365748608061175,6.356588483853435,6.356588483853435,7.597167393360259,7.597167393360259
12,Evergreen Cemetery,42.33839303100004,-71.16238493699996,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,4.875588332395415,4.875588332395415,4.875588332395415,4.875588332395415,4.875588332395415,4.875588332395415,5.863149391212328,5.863149391212328,7.10297998329111,7.10297998329111
13,Hardiman Playground,42.35136046800005,-71.16619070499996,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,5.2159704060900385,5.2159704060900385,5.2159704060900385,5.2159704060900385,5.2159704060900385,5.2159704060900385,6.4288290187373,6.4288290187373,7.45415029720123,7.45415029720123
14,Rogers Park,42.34762765100004,-71.15944217249998,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,4.560856059733387,4.560856059733387,4.560856059733387,4.560856059733387,4.560856059733387,4.560856059733387,5.715050163728233,5.715050163728233,6.808045694037357,6.808045694037357
15,Chandler Pond,42.34503420700005,-71.16574343999994,0.0,15.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,1.0,6.0,5.010580357683281,5.010580357683281,5.010580357683281,5.010580357683281,5.010580357683281,5.010580357683281,6.128745416640044,6.128745416640044,7.25772011385178,7.25772011385178
16,Mullen Square,42.319336472500055,-71.05802175199995,0.0,20.0,10.0,11.0,1.0,2.0,3.0,4.0,5.0,6.0,19.0,2.7944080348085194,3.4497166475877608,3.4497166475877608,3.729805306054688,3.729805306054688,3.729805306054688,3.729805306054688,3.729805306054688,3.729805306054688,3.8486599097847685
