OBJECTID,OS_ID,PARK_ID,Name,Avg. Lat,Avg. Long,Station 1,Station 1 Dist,Station 2,Station 2 Dist,Station 3,Station 3 Dist,Station 4,Station 4 Dist,Station 5,Station 5 Dist
1,2000,,Wilson Park,42.340991124000055,-71.14592892599995,D32033,0.48175020260611406,D32054,0.6451252195913203,K32002,0.6501131624599871,B32035,0.7178978731245395,D32028,0.9536097884479399
2,156,156,James H. Roberts Playground,42.35952553200005,-71.12533246149997,A32040,0.27578874572168094,A32011,0.4690397022807988,A32019,0.6053261879248842,A32006,0.784173571269879,A32012,0.8163720968790098
3,284,284,Smith Playground,42.36507196100004,-71.13104615899996,A32019,0.22720176045357812,A32011,0.5522332663512377,A32040,0.5720422564623499,A32052,0.6520696225138722,A32005,0.6778668546118113
4,115,115,Fern Square,42.35953406100006,-71.13329072949998,A32040,0.4011546586587957,A32005,0.4308336871232171,A32019,0.6804028859054866,A32001,0.7642822251706524,A32045,0.7656556876301969
5,259,259,Ringer Playground,42.35045632200007,-71.13812892049995,D32034,0.27813829586463684,A32001,0.32664544934088774,A32017,0.463595146932305,D32035,0.6591002837335973,D32054,0.7311247137659443
6,193,193,McKinney Playground,42.35463145150004,-71.15292741949997,D32001,0.5916489966932061,D32028,0.6680980883158297,D32029,0.8766736516709082,A32045,0.9514848801890075,W32004,0.9845470055771167
7,154,154,Hobart Park,42.35572421900005,-71.16132052399996,D32031,0.7136309837463984,D32029,0.7566974540072076,W32004,0.8394791317985038,D32028,1.1811649688547385,D32001,1.2147738264164316
8,188,188,Market Street Burying Ground,42.35045317300006,-71.15234523399997,D32028,0.2389922691864209,D32029,0.6776325973342319,D32054,0.6956032670085268,D32001,0.892750212605501,D32034,1.045702083946077
9,162,162,Jackson Square,42.34597978600004,-71.15274223099996,D32028,0.38753525843033193,D32054,0.6036604249617097,D32033,0.6427558216818616,D32029,0.706118212817673,D32034,1.0849104337713642
10,3000,,Reilly Playground,42.33700505250005,-71.15269437699996,B32035,0.23607979651850255,D32033,0.3694812136737504,K32002,1.1415908343519563,N32009,1.228494360534988,D32054,1.2381672189746327
11,3001,,Boyden Park,42.33954287650005,-71.16637026649997,N32009,0.07003463382571007,D32029,1.1581854499648518,D32033,1.212458509519775,D32031,1.224933150868467,B32035,1.3723109524785861
12,110,110,Evergreen Cemetery,42.33839303100004,-71.16238493699996,N32009,0.4213590714736366,D32033,0.9052424960941838,B32035,1.020323443027407,D32029,1.1853001812161703,D32031,1.3942934768533948
13,143,143,Hardiman Playground,42.35136046800005,-71.16619070499996,D32031,0.09122475339928944,D32029,0.5529581384779199,N32009,1.2775181689575084,D32028,1.3387131859120667,W32004,1.4500348634951115
14,267,267,Rogers Park,42.34762765100004,-71.15944217249998,D32029,0.16389654977633256,D32031,0.6664443869383349,D32028,0.7697221066546238,D32033,1.0394785325965767,N32009,1.0667454610439282
15,128,128,Chandler Pond,42.345034207000054,-71.16574343999994,N32009,0.5832903458482387,D32031,0.6179935951643073,D32029,0.6240328088729651,D32033,1.2744941779776218,D32028,1.3469522426292972
16,210,210,Mullen Square,42.319336472500055,-71.05802175199995,C32112,0.1009665076410362,C32064,0.3865620627532462,C32013,0.5748726061736457,C32033,1.0282133807149778,C32090,1.0444361923091086
17,89,089,Dorchester North Burying Ground,42.317206903000056,-71.06373744749996,C32112,0.43203270751980516,C32113,0.8709147460907418,C32064,0.9110595240869074,B32031,1.0453652511826752,C32022,1.067798813939786
18,92,092,Downer Avenue Playground,42.31154402100006,-71.06173662799995,C32113,0.2297140970317208,B32031,0.4960791924247147,C32033,0.6545529298455234,C32112,0.8288660830219667,B32029,0.946091051904698
19,251,251,Quincy/Stanley Play Area,42.31108400200006,-71.06878294449996,B32029,0.37871711348567866,B32031,0.4689879990215304,C32113,0.7214975342893432,B32028,1.0634585865325399,C32037,1.1611541233225637
20,80,080,Deer Street Park,42.310999277000064,-71.05873330549994,C32113,0.17830149179105392,C32033,0.40094906883421116,B32031,0.6322129365833125,C32112,0.8558072208691827,C32108,0.8933819186354105
21,3002,,Savin Hill Beach,42.30725802400005,-71.05146770649995,C32033,0.421928510567456,C32108,0.4598633188810197,C32113,0.7740965343152644,B32031,1.1277784303548344,C32041,1.1382064160571734
22,70,070,Coppens Square,42.30841677250007,-71.06437005599997,B32031,0.0882099663724718,C32113,0.3775094168157951,B32029,0.714894105419861,C32033,0.8966537040826876,C32108,0.9861465595399184
23,3003,,Old Harbor Park,42.319906344500026,-71.04038230249995,C32090,0.4269722204534074,C32013,0.8914302028255655,C32014,0.915426610443899,C32064,1.087153490258527,C32052,1.422911637451302
24,191,191,McConnell Park,42.30891298350005,-71.05142915899995,C32033,0.27679576684063467,C32108,0.6269827306662465,C32113,0.730063114431126,B32031,1.1351404372367735,C32090,1.2131239142699985
25,27,027,Boston Common,42.355043019500044,-71.06566726199995,D32014,0.1912131586152041,D32024,0.362296544671443,B32056,0.37662542278833183,D32019,0.38239206228228223,D32042,0.3984215612673643
26,47,047,Central Burying Ground,42.352889919000035,-71.06609636049996,D32042,0.1840628295786876,D32011,0.1943638911394279,D32019,0.28658518842932745,D32014,0.3242278760060163,D32007,0.37145043909810727
27,246,246,Public Garden,42.35406365850005,-71.06998497349994,D32024,0.22114926392201545,D32007,0.2260286065784161,D32017,0.2884540839868573,D32042,0.30616838805846724,D32013,0.42377991844988677
28,137,137,Granary Burying Ground,42.35734815300006,-71.06175088449996,B32056,0.07417329604825582,B32061,0.12971061605569956,A32058,0.2806700129425857,D32014,0.2942279924987077,B32032,0.3188481620960338
29,237,237,Phillips Street Play Area,42.36053411550003,-71.06731313549997,D32000,0.1852032653724314,D32016,0.32064157004853555,D32024,0.5399303050050323,B32061,0.5416760156251028,A32025,0.6236822454413327
30,212,212,Myrtle Street Playground,42.35919916450004,-71.06609477899994,D32000,0.2380878872447817,B32061,0.3989192749010709,D32016,0.45553425719658097,B32056,0.4595591320597284,D32024,0.466769099961844
31,69,069,Copley Square Park,42.35001045200005,-71.07619749699998,D32005,0.09884945171772577,D32045,0.17090884398384779,C32003,0.2172685279263721,D32013,0.27035078018795045,D32046,0.2734858448657371
32,58,058,Clarendon Street Playlot,42.352799163500066,-71.07658285199997,D32045,0.2284682032901405,D32005,0.32579353157834195,D32013,0.32769125650573505,D32046,0.4285106296102515,D32017,0.43137092258269877
33,81,081,DeFilippo Playground,42.36653117450007,-71.05697828849998,A32053,0.2788716272227332,D32010,0.4200014239626773,D32006,0.5830254743986811,A32025,0.607596551044962,D32022,0.6207230704383048
34,71,071,Copp's Hill Burying Ground,42.36735748150005,-71.05578552599997,A32053,0.4132403678154124,D32010,0.5055568697515463,D32006,0.5598888280381622,D32021,0.6217693256178677,A32025,0.7229539735112231
35,72,072,Copp's Hill Terrace,42.36780996600004,-71.05531743649996,A32053,0.47608368882514657,D32010,0.5587094162898003,D32006,0.5702955518221089,D32021,0.6075280110323,D32039,0.7026614922939276
36,123,123,Foster Street Play Area,42.36743203650005,-71.05406256899997,D32006,0.4746872762938078,A32053,0.5283179520398549,D32010,0.5392094275253924,D32021,0.7098622574509251,D32039,0.7459661205918858
37,52,052,Charter Street Park,42.36680027950007,-71.05329171699995,D32006,0.38136856883982506,D32010,0.49862831754417886,A32053,0.548995935249336,D32057,0.6962378371602371,B32004,0.744406462719984
38,231,231,Paul Revere Mall,42.36576163750007,-71.05361206949996,D32006,0.3080050052990271,D32010,0.3851255218600758,A32053,0.48604469452176763,D32057,0.577891285432032,B32004,0.6461915376437699
39,240,240,Polcari Park,42.36503583250004,-71.05445404199995,D32010,0.2805894014381048,D32006,0.32182043136165167,A32053,0.4045742528843987,D32057,0.48574795071362425,D32009,0.5718735633917456
40,77,077,Cutillo Park,42.36355771050006,-71.05638394049998,D32010,0.08695702881082426,A32053,0.2772689550792491,D32057,0.3306090302037267,D32009,0.36117769188154686,D32006,0.4549796616681279
41,2141,,City Hall Plaza,42.36050201350005,-71.05893443449995,B32032,0.10336235426748484,D32009,0.11669825278143367,A32058,0.14285699660618495,B32008,0.20602700830857545,B32061,0.30034922178173246
42,7008,,Norman Leventhal Park,42.35627479650003,-71.05557483799996,A32026,0.26666705164482996,B32008,0.3390806258834165,A32013,0.3501851110273202,A32042,0.3786704523212041,D32008,0.4131173626424361
43,10,010,Angell Memorial Square,42.35709628150005,-71.05608246699995,B32008,0.23931522872891448,A32013,0.3436550988166721,A32026,0.36116353950222096,A32058,0.3824297526366984,D32009,0.387552516620568
44,2144,,Union Street Park I,42.36101105050005,-71.05719540499999,D32009,0.07119819355434301,D32057,0.16393926848662882,D32010,0.22049195638591199,B32008,0.23500507304644896,B32032,0.25146833442185806
45,175,175,Langone Park,42.36865442750005,-71.05613505699995,D32021,0.49303371888391834,A32053,0.5091690075178432,D32039,0.6173190037235646,D32010,0.6491144175337381,D32006,0.685511866320523
46,3004,,Prince Street Park,42.36802855300007,-71.05789255349995,A32053,0.3845980422908357,D32021,0.4680420262870471,A32025,0.5863706233063171,D32022,0.5905484141590619,D32010,0.5987595452196246
47,252,252,Rachel Revere Square,42.36355583750006,-71.05351355449997,D32006,0.21999554636042115,D32010,0.2260343464945484,D32057,0.34767579082730093,B32004,0.4287430384505126,D32009,0.4801801861224862
48,299,299,Tai Tung Park,42.348302499000056,-71.06152537599996,D32043,0.1334768990765396,C32025,0.2998435675665983,D32048,0.3361511706907761,D32015,0.38297829585148285,C32057,0.39237638711752904
49,101,101,Leo F. McCarthy Playground,42.37944579850003,-71.06837900249994,A32022,0.056612143709464414,D32036,0.24271186271351813,D32060,0.3900621144518342,D32020,0.5278899988106454,A32023,0.5975730409919237
50,3005,,City Square,42.371697128500045,-71.06188031799996,D32021,0.13189365929555208,D32038,0.3883307840812246,D32020,0.48858340331221106,D32039,0.6415944664022434,A32023,0.6483400436790163
51,145,145,John Harvard Mall,42.37263334350007,-71.06256813299996,D32021,0.20677898243262116,D32038,0.27033849652707237,D32020,0.3701926847700086,A32023,0.5586412578355032,D32039,0.6599570522958361
52,3006,,Paul Revere Park,42.370095084500036,-71.06240072799997,D32021,0.2609262104364439,D32022,0.4952711253975175,A32025,0.5146023276251389,D32038,0.5443150698212845,M32034,0.6228405571273113
53,51,051,Charlestown H.S. Athletic Fields,42.38092118150007,-71.05754797449995,D32037,0.2537743557469834,D32023,0.7657844296654893,D32039,0.7878836628463382,D32020,0.828895582627863,D32038,0.8477349425320231
54,274,274,Ryan Playground,42.38608888650006,-71.07126612149997,D32053,0.36778773958832267,S32014,0.577723726638804,D32036,0.5835254210159807,D32060,0.6871312020821924,V32005,0.8060903000271877
55,15,015,Barry Playground,42.37935769900005,-71.05344189749997,D32023,0.3887050768079984,D32039,0.5921524994299788,D32037,0.5979619906790183,D32038,0.9900761642522772,D32021,1.00705785554275
56,87,087,Doherty Playground,42.38235938450006,-71.06754656849998,D32036,0.3037941278436738,A32022,0.387032280614363,D32060,0.5207422673725992,D32037,0.6142271188296519,D32053,0.6678068011335967
57,7010,,St Francis De Sales Cemetery,42.38161693450007,-71.06570777899998,A32022,0.37919170839542676,D32036,0.41398186128759157,D32037,0.4442084523905373,D32060,0.629026156876325,D32020,0.6741440894539283
58,5000,,Bunker Hill Monument,42.37631527350004,-71.06078793849997,D32038,0.29741159389363847,D32020,0.32442093581798204,D32037,0.45740241877947774,D32021,0.49790556282528464,D32039,0.5490632111969168
59,238,238,Phipps Street Burying Ground,42.376262739000055,-71.06765486499998,D32020,0.26142566701975284,A32023,0.26766977954872373,A32022,0.3102427339919279,D32038,0.3501776150795151,D32036,0.5660720277936766
60,326,326,Winthrop Square,42.374347930000056,-71.06014700249997,D32021,0.277950249103097,D32038,0.3094179771057252,D32020,0.3929798037864053,D32039,0.4401097216552013,D32037,0.6763855253255417
61,148,148,Hayes Square,42.37684996200005,-71.05680850649995,D32039,0.34451551585036555,D32037,0.503403104925321,D32038,0.618760960404989,D32021,0.6253263836018722,D32020,0.6571375635655442
62,2006,,Charlestown Sprouts Garden,42.38188956850007,-71.05825412899998,D32037,0.24955932691763258,D32023,0.8635296137713091,D32020,0.8726268467519869,D32038,0.9043142283339319,D32039,0.9079353838716806
63,98,098,East Boston Memorial Park I,42.37177714000006,-71.02963541099996,A32032,0.36506692727539153,A32049,0.507878584582838,A32044,0.5432240018337782,A32031,0.8443777211625012,A32051,0.849660474196549
64,216,216,Noyes Playground,42.38778300300004,-71.01026262199994,A32039,0.2858740564232882,A32035,0.360551863407028,A32028,0.6791552308189193,H32006,1.6303641466155236,A32051,1.720133362745939
65,7011,,Temple Ohabei Shalom Cemetery,42.382425455500055,-71.01493432199996,A32028,0.16072285224567562,A32039,0.47142112087030513,A32035,0.8738330584400575,A32051,1.1099122659152398,A32032,1.7348999861138337
66,74,074,Cuneo Park,42.38369560400005,-71.01675952899998,A32028,0.05020541916055419,A32039,0.5324984520326196,A32035,0.9424915714489797,A32051,1.0274427169075793,H32004,1.6721135567054441
67,22,022,Bennington Street Cemetery,42.38096238250003,-71.02100471149998,A32028,0.48852970673219515,A32051,0.5842485505815044,A32039,0.9767037263945121,A32032,1.23196791706116,A32035,1.3873383900391967
68,9,009,American Legion Playground,42.38196225000007,-71.02945586349995,A32051,0.3285021358803485,A32032,0.9141595827650144,A32041,1.07959377249848,A32028,1.1062356875570498,H32003,1.1857846306390487
69,245,245,Prescott Square,42.38113743450003,-71.03088494449997,A32051,0.33055616254729253,A32032,0.79619272769505,A32041,0.9309036674291333,H32003,1.1915967476836793,A32036,1.2051328169900857
70,249,249,Putnam Square,42.380332453500074,-71.03296660799998,A32051,0.44616030984754645,A32032,0.6918180420656108,A32041,0.7460373881224981,A32036,1.0237525744757636,A32049,1.1048406282361678
71,226,226,Paris Street Playground,42.37224943250004,-71.03703687249998,A32049,0.22086975569021003,A32036,0.3486692087155232,A32031,0.36018771213610323,A32041,0.39704444860006977,A32032,0.40802405166709826
72,33,033,Brophy Park,42.36570099350007,-71.03356372899998,A32044,0.22725121337027707,A32050,0.4323845979952587,A32057,0.5550125928384964,A32049,0.5667074042200365,A32030,0.619634674784335
73,296,296,Sumner & Lamson Street Playground,42.36595821550006,-71.03244333599994,A32044,0.2119550786350258,A32050,0.3652509735979698,A32049,0.5746940318759434,A32057,0.6480419654824966,A32030,0.6839709233510984
74,1001,,Condor Street Beach I,42.383108395500045,-71.02973534899996,A32051,0.45456041245529893,A32032,1.0305781601190962,H32003,1.0744817399612088,A32028,1.116398361820103,A32041,1.153074767163265
75,97,097,East Boston Greenway,42.369364187500025,-71.03694722699996,A32049,0.17535094043200672,A32031,0.20547611307469027,A32030,0.2402454612757062,A32044,0.3461552274506704,A32057,0.4938913452280748
76,298,298,Symphony Community Park,42.34475255700005,-71.08762613299996,B32005,0.19139002283035597,B32018,0.30282270824093477,C32063,0.5151388470044805,C32007,0.6068370285520419,C32008,0.6246242512664408
