OBJECTID,OS_ID,PARK_ID,Name,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
1,2000,,Wilson Park,42.340991124000055,-71.14592892599995,0,D32033,0.48175020260611406,D32054,0.6451252195913203,B32035,0.7178978731245395,D32028,0.9536097884489997,D32034,0.954297150676388,A32017,1.4195919155401824,D32029,1.4791050371730843,A32001,1.5439523396166428,D32035,1.6042470013801102,A32045,1.7646484982898225
2,156,156,James H. Roberts Playground,42.35952553200005,-71.12533246149997,1,A32040,0.2757887457209742,A32011,0.4690397022800918,A32019,0.6053261879248848,A32006,0.7841735712695247,A32012,0.8163720968811304,A32052,0.948058405005651,A32002,1.0130923935598353,A32005,1.0482694356956503,D32035,1.1812705058994295,A32001,1.2030185969675193
3,284,284,Smith Playground,42.36507196100004,-71.13104615899996,1,A32019,0.22720176045357812,A32011,0.5522332663512377,A32040,0.5720422564623499,A32052,0.6520696225138722,A32005,0.6778668546111044,A32006,1.0558066040021403,A32045,1.2886252612554596,A32001,1.402350648912702,A32012,1.5422007120010606,D32001,1.5524948796314928
4,115,115,Fern Square,42.35953406100006,-71.13329072949998,0,A32040,0.4011546586587957,A32005,0.43083368712215686,A32019,0.6804028859065473,A32001,0.7642822251706524,A32045,0.7656556876301969,A32011,0.8533986161388765,A32012,1.1225411198441901,D32001,1.1343823610824144,D32035,1.1395290352091145,A32017,1.1460232470230025
5,259,259,Ringer Playground,42.35045632200007,-71.13812892049995,1,D32034,0.27813829586463684,A32001,0.32664544934088774,A32017,0.463595146932305,D32035,0.6591002837335973,D32054,0.7311247137659443,A32045,0.7383746228351064,D32028,1.0144478632386893,D32001,1.0419460644559833,A32012,1.1949889090657564,A32005,1.2321821814312173
6,193,193,McKinney Playground,42.35463145150004,-71.15292741949997,0,D32001,0.5916489966932061,D32028,0.668098088315477,D32029,0.8766736516709082,A32045,0.9514848801890075,D32054,1.0646030321300637,D32031,1.2051563129340646,D32034,1.2747182555174357,A32001,1.2945196334974811,A32005,1.4665815460173814,D32033,1.6011464455668891
7,154,154,Hobart Park,42.35572421900005,-71.16132052399996,0,D32031,0.7136309837463984,D32029,0.7566974540072076,D32028,1.181164968853677,D32001,1.2147738264164314,A32045,1.6211742675427638,D32054,1.6384150510244522,D32033,1.8936325184184077,D32034,1.9399202116836765,A32001,1.9957028615531656,A32005,2.0457299720666398
8,188,188,Market Street Burying Ground,42.35045317300006,-71.15234523399997,1,D32028,0.23899226918536,D32029,0.6776325973342319,D32054,0.6956032670085268,D32001,0.892750212605501,D32034,1.045702083946077,A32045,1.1104518200195868,D32033,1.1350552252884722,D32031,1.1656060059167639,A32001,1.2792183996528135,A32017,1.620065005149385
9,162,162,Jackson Square,42.34597978600004,-71.15274223099996,0,D32028,0.3875352584306845,D32054,0.603660424960119,D32033,0.6427558216818611,D32029,0.706118212817673,D32034,1.0849104337710105,B32035,1.1724844638407235,D32031,1.2423198664304391,D32001,1.3543642046017768,A32045,1.4875828285254291,A32001,1.511139951103309
10,3000,,Reilly Playground,42.33700505250005,-71.15269437699996,1,B32035,0.23607979651850255,D32033,0.3694812136737504,D32054,1.2381672189746327,D32028,1.341619707237054,D32029,1.4682943895030176,D32034,1.6399974656329281,D32031,1.887575381142391,A32017,2.1313586506914355,A32001,2.2127735199642555,D32001,2.3103880311837894
